Year,State,Data Status,RESIDENTIAL Revenue,RESIDENTIAL Sales,RESIDENTIAL Customers,RESIDENTIAL Price,COMMERCIAL Revenue,COMMERCIAL Sales,COMMERCIAL Customers,COMMERCIAL Price,INDUSTRIAL Revenue,INDUSTRIAL Sales,INDUSTRIAL Customers,INDUSTRIAL Price,TRANSPORTATION Revenue,TRANSPORTATION Sales,TRANSPORTATION Customers,TRANSPORTATION Price,TOTAL Revenue,TOTAL Sales,TOTAL Customers,TOTAL Price
2010,OH,Final,"6,161,972","54,474,377","4,877,214",11.31,"4,528,123","46,525,626","612,961",9.73,"3,397,914","53,109,367","20,692",6.40,"3,107","36,045",3,8.62,"14,091,114","154,145,418","5,510,870",9.14
2010,OK,Final,"2,164,329","23,688,862","1,660,646",9.14,"1,415,037","19,005,134","261,927",7.45,"810,789","15,151,986","18,347",5.35,0,0,0,.,"4,390,154","57,845,981","1,940,920",7.59
2010,OR,Final,"1,671,728","18,838,666","1,629,075",8.87,"1,173,041","15,453,589","238,449",7.59,"631,878","11,708,418","22,636",5.40,"1,766","25,271",58,6.99,"3,478,410","46,025,945","1,890,217",7.56
2010,PA,Final,"7,017,224","55,252,836","5,244,274",12.70,"4,783,808","47,366,366","678,767",10.10,"3,480,921","45,457,627","27,293",7.66,"70,127","887,138",16,7.90,"15,352,080","148,963,968","5,950,349",10.31
2010,RI,Final,"496,481","3,117,809","430,623",15.92,"483,826","3,693,288","56,664",13.10,"113,620","960,833","1,975",11.83,"3,746","27,297",1,13.72,"1,097,677","7,799,227","489,263",14.07
2010,SC,Final,"3,449,574","32,852,087","2,089,299",10.50,"1,986,442","22,320,134","340,363",8.90,"1,567,887","27,307,074","4,475",5.74,0,0,0,.,"7,003,901","82,479,294","2,434,137",8.49
2010,SD,Final,"415,336","4,628,124","370,565",8.97,"329,832","4,367,780","66,276",7.55,"143,157","2,360,246","3,289",6.07,0,0,0,.,"888,325","11,356,150","440,130",7.82
2010,TN,Final,"4,172,362","45,191,029","2,704,051",9.23,"2,838,714","29,399,025","460,398",9.66,"1,903,856","28,929,638","2,026",6.58,205,"1,848",1,11.09,"8,915,140","103,521,537","3,166,476",8.61
2010,TX,Final,"15,905,878","137,161,401","9,536,767",11.60,"11,163,355","121,467,291","1,459,659",9.19,"6,420,038","99,754,414","127,603",6.44,"7,311","74,444",3,9.82,"33,496,583","358,457,551","11,124,032",9.34
2010,UT,Final,"769,145","8,834,229","936,600",8.71,"741,023","10,367,847","122,340",7.15,"434,486","8,808,211","9,430",4.93,"2,928","33,713",10,8.69,"1,947,582","28,044,002","1,068,380",6.94
2010,VA,Final,"5,061,604","48,438,958","3,258,964",10.45,"3,676,234","48,036,983","419,948",7.65,"1,141,321","17,141,225","5,378",6.66,"14,552","188,969",1,7.70,"9,893,714","113,806,133","3,684,291",8.69
2010,VT,Final,"331,392","2,127,935","307,837",15.57,"271,531","2,020,939","50,616",13.44,"137,852","1,445,962",220,9.53,0,0,0,.,"740,774","5,594,834","358,672",13.24
2010,WA,Final,"2,805,590","34,906,925","2,825,279",8.04,"2,125,160","28,833,283","353,327",7.37,"1,085,311","26,632,813","27,970",4.08,515,"6,949",6,7.41,"6,016,576","90,379,971","3,206,583",6.66
2010,WI,Final,"2,820,621","22,299,493","2,594,695",12.65,"2,296,380","23,001,116","338,406",9.98,"1,606,233","23,451,807","4,497",6.85,0,0,0,.,"6,723,235","68,752,418","2,937,598",9.78
2010,WV,Final,"1,094,175","12,442,583","867,947",8.79,"610,028","7,961,906","137,208",7.66,"681,013","11,622,934","12,347",5.86,366,"4,379",1,8.36,"2,385,579","32,031,802","1,017,503",7.45
2010,WY,Final,"239,197","2,727,203","257,448",8.77,"320,135","4,317,139","59,642",7.42,"501,282","10,069,118","8,932",4.98,0,0,0,.,"1,060,618","17,113,458","326,022",6.20
2010,US,Final,"166,778,038","1,445,708,403","125,717,767",11.54,"135,553,749","1,330,199,356","17,674,167",10.19,"65,772,005","971,221,196","747,691",6.77,"814,339","7,712,410",238,10.56,"368,918,125","3,754,841,377","144,139,862",9.83
"For October and November 2017, Puerto Rico Electric Power Authority supplied their data in the aggregate and EIA estimated the sector breakdowns.
The sector, Other, was collected from 1990-2002 and the Transportation sector has been collected since 2003.
Customer counts started to be published in 2007.
EIA started collecting data from Puerto Rico in June 2014.",,,,,,,,,,,,,,,,,,,,,,
