Year,State,Data Status,RESIDENTIAL Revenue,RESIDENTIAL Sales,RESIDENTIAL Customers,RESIDENTIAL Price,COMMERCIAL Revenue,COMMERCIAL Sales,COMMERCIAL Customers,COMMERCIAL Price,INDUSTRIAL Revenue,INDUSTRIAL Sales,INDUSTRIAL Customers,INDUSTRIAL Price,TRANSPORTATION Revenue,TRANSPORTATION Sales,TRANSPORTATION Customers,TRANSPORTATION Price,OTHER Revenue,OTHER Sales,OTHER Customers,OTHER Price,TOTAL Revenue,TOTAL Sales,TOTAL Customers,TOTAL Price
2009,NC,Final,"5,627,153","56,311,125","4,175,831",9.99,"3,689,879","46,240,477","650,651",7.98,"1,503,510","25,099,683","11,374",5.99,458,"6,695",1,6.84,.,.,.,.,"10,821,000","127,657,979","4,837,857",8.48
2009,ND,Final,"337,306","4,449,219","322,464",7.58,"310,377","4,558,194","57,433",6.81,"191,071","3,641,165","2,488",5.25,0,0,0,.,.,.,.,.,"838,757","12,648,582","382,385",6.63
2009,NE,Final,"820,291","9,626,938","799,620",8.52,"682,812","9,314,287","154,056",7.33,"547,119","9,510,966","41,391",5.75,0,0,0,.,.,.,.,.,"2,050,222","28,452,195","995,067",7.21
2009,NH,Final,"724,704","4,421,523","591,159",16.39,"637,710","4,440,762","92,630",14.36,"252,161","1,836,212","3,196",13.73,0,0,0,.,.,.,.,.,"1,614,576","10,698,493","686,985",15.09
2009,NJ,Final,"4,540,653","27,832,944","3,430,837",16.31,"5,450,133","39,377,042","476,355",13.84,"981,060","8,250,104","13,254",11.89,"39,981","319,763",7,12.50,.,.,.,.,"11,011,830","75,779,853","3,920,452",14.53
2009,NM,Final,"651,890","6,503,774","844,864",10.02,"733,526","8,734,171","135,703",8.40,"366,505","6,409,193","6,835",5.72,0,0,0,.,.,.,.,.,"1,751,920","21,647,137","987,403",8.09
2009,NV,Final,"1,527,405","11,880,151","1,054,926",12.86,"952,521","8,950,122","153,622",10.64,"1,071,907","13,445,041","3,646",7.97,829,"8,339",17,9.94,.,.,.,.,"3,552,664","34,283,655","1,212,212",10.36
2009,NY,Final,"8,442,903","48,245,842","6,916,412",17.50,"11,660,183","75,347,117","1,034,830",15.48,"1,123,273","13,416,581","8,563",8.37,"397,221","3,024,856",25,13.13,.,.,.,.,"21,623,581","140,034,397","7,959,830",15.44
2009,OH,Final,"5,484,445","51,405,162","4,880,392",10.67,"4,380,257","45,369,743","613,732",9.65,"3,325,883","49,485,876","21,088",6.72,"4,186","39,014",2,10.73,.,.,.,.,"13,194,773","146,299,793","5,515,214",9.02
2009,OK,Final,"1,836,902","21,640,953","1,643,674",8.49,"1,261,401","18,670,166","266,110",6.76,"686,054","14,233,459","17,752",4.82,0,0,0,.,.,.,.,.,"3,784,352","54,544,581","1,927,536",6.94
2009,OR,Final,"1,718,694","19,804,315","1,623,386",8.68,"1,198,380","15,977,600","236,227",7.50,"635,687","11,761,281","22,482",5.40,"1,619","23,704",55,6.83,.,.,.,.,"3,554,380","47,566,896","1,882,151",7.47
2009,PA,Final,"6,162,227","52,905,995","5,235,328",11.65,"4,430,832","46,411,161","679,211",9.55,"3,142,036","43,551,744","27,409",7.21,"68,274","878,537",14,7.77,.,.,.,.,"13,803,375","143,747,438","5,941,962",9.60
2009,RI,Final,"458,177","2,936,699","432,102",15.60,"504,097","3,690,677","56,385",13.66,"120,961","990,254","2,014",12.22,0,0,0,.,.,.,.,.,"1,083,234","7,617,629","490,501",14.22
2009,SC,Final,"3,086,900","29,556,324","2,083,431",10.44,"1,873,078","21,439,771","343,795",8.74,"1,471,887","25,421,385","4,501",5.79,0,0,0,.,.,.,.,.,"6,431,866","76,417,479","2,431,727",8.42
2009,SD,Final,"382,819","4,511,309","367,204",8.49,"302,622","4,238,348","65,968",7.14,"127,745","2,260,462","3,050",5.65,0,0,0,.,.,.,.,.,"813,190","11,010,119","436,223",7.39
